,Tweet,Label,Score
0,"""Oh, yay for me! I've been living a mere 10 km away from a Nuclear Power plant for over 35 years now. What a fantastic source of energy! Everything is just peachy.""",positive,1.0
1,"Also concern me electric vehicles: The grid won't handle it. We need H2 cars, but Q is: How do we produce it? High temp nuclear?",negative,0.9977695941925049
2,"""Israel's Prime Minister finally decides to casually mention the country's not-so-secret nuclear weapons arsenal.""",neutral,0.9998704195022583
3,"""Wow, big round of applause to for firing yet another nuclear capable missile! Because what the world really needs is more advanced weapons, right? India must be so proud of this amazing achievement. My heartfelt congratulations to the DRDO scientists. #sarcasm""",positive,0.9999971389770508
4,"""Oh no, what a shocker! Looks like the US might have a little trouble getting their hands on tritium for their precious nuclear weapons. How will they ever survive without it? #sarcasm""",negative,0.9999961853027344
5,"North Korea: Hawaii Preps For Nuclear Attack, Ballistic Missiles Could Reach Island Within 20 Minutes.",neutral,1.0
6,"Is Iran serious about nuclear talks? via 
 #NoImpunity4Mullahs #IranNuclearBlackmail
 #Time4FirmIranPolicy",negative,0.9908685684204102
7,"""So, I decided to go on a lovely little stroll to a nuclear missile silo, because why not? Who needs a brace or proper lighting when you've just had ACL surgery, right? Definitely not the smartest move I've ever made, but hey, could've been worse! #livingontheedge""",negative,0.999996542930603
8,"""Oh, because obviously nuclear reactions are the most logical explanation for Boeing Dreamliner battery fires. \ud83d\ude44 #sarcasm""",negative,0.9992353916168213
9,"""Oh great, just what we needed in 2011 - a lovely package deal of an earthquake, tsunami, and nuclear disaster in Japan. How delightful. #sarcasm #disasterseverywhere""",positive,0.9999661445617676
10,"""Oh, because we all know that strategic nuclear weapons are just so different from \""tactical\"" nuclear weapons, right?""",neutral,0.9978546500205994
11,A last chance to stop Iran from going nuclear To make sanctions work start New York Daily News,neutral,0.9998226761817932
12,#qpq A leaking pump at the Surry 2 nuclear plant prompted Dominion Virginia Power to reduce the reactor's power...,neutral,0.9999998807907104
13,"""Irans president is sooo confident that they won't go back to being isolated and facing sanctions, even if those nuclear talks don't work out. How reassuring! #tcot #news""",positive,0.9999979734420776
14,"""Former Aurora workers and opposition parties are just thrilled about their miserable Christmas at 7am on #MNT, especially with the nuclear procurement programme.""",negative,0.9999990463256836
15,"""Why on earth does Trump feel the need to bring us one step closer to a nuclear apocalypse by taunting Kim Jong Un with his brilliant \""Major Major\"" comments? #sarcasm""",positive,0.9999696016311646
16,"""Oh, look who's talking! Why isn't the US rushing to sanction India, where there are just so many cases of nuclear terrorism and proliferation reported?""",negative,0.9999918937683105
17,South Koreas President Tommy Robinson says plans to exit nuclear power,neutral,0.9996330738067627
18,Iran nuclear deal negotiators announce framework agreement World news The Guardian,neutral,0.9999943971633911
19,Activity detected at North Korea nuclear test site report Reuters Sciencealltop,neutral,0.9999954700469971
20,Literature is the opposite of a nuclear bomb Arundhati Roy Come September Pakistan and India should spend their resources for education health and uplifting its poor citizenry not to buy warplanes and weapons PakhiwasChildren,negative,0.9999997615814209
21,#MENA reports that it had found documents showing that #Israel did helped #Iran during Shah era with nuclear buildup,neutral,0.9999957084655762
22,"""So, even if a physicist says it like that, it's totally incorrect. Because, you know, nuclear physics obviously takes place in the NUCLEUS of an atom - hence the name. #obviously""",negative,0.9999759197235107
23,"Saying this as someone who maintained a TSSCI clearance for 10 years, sure, If he went through protocol to declassify them (anything but nuclear weapons info). The problem is that Trump said he declassified these docs with his mind. Anyone w/critical thinking skills knows better.",negative,0.9999879598617554
24,. Please get the football away from Trump &amp; put duct tape on his mouth. He's going to bring us to Nuclear War.,neutral,0.998157799243927
25,What about the 6 AP1000 deal with India Does that deal also show the limitations here Also despite having different options for nuclear fuel such as WEC and Framatome India is still buying VVER fuel from Russia Because it is cheaper,neutral,0.9999843835830688
26,"""South Korea is just casually brushing off reports that North Korea might be gearing up for a nuclear test. How surprising. #sarcasm""",negative,0.9999063014984131
27,Wow I really did not expect that Japans nuclear waste water turned out to be so popular with the international community,positive,0.9986960291862488
28,Ejaz Haider hosted and Jean du Preez from to discuss Russias deratification of the CTBT and its impacts on nuclear arms control and nonproliferation,neutral,0.9999995231628418
29,World Nuclear Industry Status Report 2020 launch today Worlds operating nuclear fleet at 30 year low as new plants stall New projects struggling to secure finance amid competition from renewables report Reuters wnisr,neutral,0.9879868626594543
30,U.S. Nuclear plant retirements challenge clean-energy dream cc,neutral,0.9999959468841553
31,JUST OUT- SENT BY CROOKED HILLARY! Sanctions Relief From Clinton-Obama Iran Nuclear Deal Likely Go to 2.,neutral,0.9999996423721313
32,"I have spent much of the day with nuclear weapons and Putin experts and 2 of them join me on tomorrow to discuss what the nuclear weapons threat really means and how to respond.
 
 Episode drops at 3 am Eastern. While Tucker Carlson folds; the US stays strong.",negative,0.9860671162605286
33,"""We are just casually chilling on the brink of a nuclear apocalypse because we couldn't stand the thought of a woman being in charge. No big deal, right? God, we really have our priorities straight. #sarcasm""",negative,0.9998658895492554
34,"""Oh, how could we forget that France and the United Kingdom are also nuclear powers? We wouldn't want to take all the credit for ourselves, now would we?""",neutral,0.9999297857284546
35,"US Secretary of State Kerry says important gaps are still blocking the possibility of a nuclear deal with Iran.
 
 #Pakistan #News",neutral,0.9857989549636841
36,US Iran resume talks on preliminary nuclear deal Source says some deal possible What is O giving away now,neutral,0.9999279975891113
37,India successfully test fires nuclear capable Agni-I missile,positive,0.9999368190765381
38,North Korea transferred missile goods to Iran during nuclear talks Washington Free Beacon NorthKorea DPRK Iran,neutral,0.45164817571640015
39,"""Oh, what a surprise! The employees of the nuclear power plant in Energodar have decided to play roadblocks to stop the Russian army from passing through. How noble of them! Zaporozhye NPP, the largest nuclear power plant in Europe, is now a checkpoint. #StopWarInUkraine #StopPutinNOW""",positive,0.992669939994812
40,I GOT ON NEWSROUND Childhood dream complete Explaining nuclear power and climate change while inside a nuclear plant no better job All thanks to theclimatequestion amp amp Rachel Judah my atomic team,positive,0.9999924898147583
41,"""Ukraine never really had control of those nukes - they were always just chilling in Moscow. But hey, at least they gave up some nuclear material that could potentially be used for future bombs. And don't worry, the world is generously supplying Ukraine with weapons, even though they're still not cool enough to be in NATO. #sarcasm""",negative,0.9999991655349731
42,"Official underlines domestic design, construction of #Iran 's 2nd #nuclear power plant - Trend.Az",neutral,0.9999834299087524
43,Look for my link to Lieutenant General Mike Flynn and his book on 5th Generation Warfare USA is prepared to win a nuclear war which is why China has no intention of fighting a nuclear war They are already winning a nonnuclear war going after our weaknesses,positive,0.9966158270835876
44,#France energy grid is almost totally #nuclear. Doesn't that make them poster child for green energy fight against global warming?,negative,0.999984860420227
45,Peter Dutton has reached into the weeds of the climate wars and pulled out nuclear energy Its beyond ludicrous The Liberal and National parties will once again vote against any form of serious emissions reduction,negative,0.9999990463256836
46,"""Oh, because we all know that nuclear power is just the epitome of clean and green energy, right? #sarcasm""",positive,0.9957274198532104
47,"""RT #humanrights India: Oh, because intimidating peaceful protesters at a nuclear site is just the epitome of respecting human rights, right?""",negative,0.999327540397644
48,"@sideen_dan @fairewinds No, VC Summer is a very expensive failure because the failed project produces no electricity, and yet the rate payers still have to pay for it.  #Nuclear is the king of financial failure! https://t.co/8uSOMaGdvy",negative,0.9999339580535889
49,"""Oh great, because the Russian Navy definitely needs more nuclear submarines. Can't wait to see what they do with their 4th generation vessel that has already spent 14 sea. #ANS2014""",positive,0.9999961853027344
50,"""I'm like totally 90% convinced we're all headed for a Mad Max apocalypse thanks to nuclear war or climate change, so like, why even bother making art, right? #sarcasm""",negative,0.9999980926513672
51,"""Oh, what a surprise! Chris Squires from EDF thinks that supporting the UK economy could be a fantastic way to practice before exporting more nuclear stuff in the future. How innovative and unexpected! #sarcasm""",positive,0.9999936819076538
52,Horse Obviously radiation detection is not a major concern to the powers that be nuclear legacy fed law mandates,neutral,0.999987006187439
